,first_name,Minit,last_name,BDate,Address,gender,Salary
88,Amanda,t,Berka,12/31/2017,33 Canary Place,2.0,36445.0
89,Belle,f,Fennick,6/5/2014,4 Algoma Junction,0.0,11965.0
90,Charlotte,c,Kleynermans,9/21/2014,1 Sunbrook Road,1.0,13443.0
91,Rebecca,O,McCreedy,8/8/2021,0558 Heath Place,1.0,32044.0
92,Ruth,q,Barrack,5/15/2022,1248 Ramsey Alley,2.0,27957.0
93,Viola,r,Boog,2/26/2021,9985 Lukken Way,2.0,17023.0
94,Olive,o,Milton,8/28/2018,0 Mandrake Plaza,2.0,46262.0
95,Amelia,K,Romayn,12/20/2017,118 Manley Street,1.0,59811.0
96,Hannah,L,August,1/1/2019,96949 Weeping Birch Junction,0.0,77951.0
97,Jane,z,Sturney,4/7/2021,7 Quincy Lane,2.0,97946.0
98,Virginia,o,Boocock,11/19/2013,1831 Forest Run Road,1.0,32228.0
99,Emily,x,Aliberti,8/27/2014,3550 Meadow Ridge Alley,0.0,65651.0
100,Matilda,b,Wellbelove,11/19/2014,96326 Hudson Trail,2.0,74461.0
101,Irene,S,Baglan,12/1/2015,59 Sunfield Point,0.0,47200.0
102,Kathryn,T,Fosse,8/8/2018,627 Longview Drive,1.0,18648.0
103,Esther,n,Maps,3/10/2015,09 High Crossing Pass,2.0,94192.0
104,Willie,R,Caines,5/18/2021,1 Crownhardt Alley,1.0,94917.0
105,Henrietta,A,Scotting,2/9/2021,48041 Morning Crossing,2.0,65614.0
106,Ollie,c,Ourtic,4/5/2017,22 Oriole Way,2.0,95625.0
107,Amy,O,Chivrall,11/23/2019,761 Debra Lane,1.0,86237.0
108,Rachel,Z,Streat,8/8/2021,29 Forster Avenue,2.0,86901.0
109,Sara,v,Botger,6/14/2013,0 Badeau Pass,1.0,20993.0
110,Estella,r,Garnar,10/1/2017,20 Luster Court,0.0,46998.0
111,Theresa,J,Patriskson,3/18/2019,86 Nobel Circle,2.0,80200.0
112,Augusta,f,Armell,12/17/2021,784 Meadow Vale Trail,1.0,84657.0
113,Ora,l,Brecon,6/18/2020,75 Golf View Pass,1.0,23362.0
114,Pauline,w,Crowcher,5/23/2022,288 Bowman Crossing,1.0,98874.0
115,Josie,E,Haitlie,1/30/2016,3213 Brentwood Lane,0.0,4867.0
116,Lola,M,Fiddiman,3/16/2016,0 Dexter Way,1.0,94401.0
117,Sophia,D,Carbett,8/30/2013,07909 Towne Drive,0.0,81007.0
118,Leona,l,Delaprelle,4/2/2018,1084 Grasskamp Court,2.0,64892.0
119,Anne,O,Zeplin,2/13/2018,7456 Troy Drive,1.0,90181.0
120,Mildred,D,McWhinnie,4/4/2017,37912 Washington Crossing,0.0,485.0
121,Ann,R,Lacer,10/17/2016,3 Comanche Circle,1.0,53964.0
122,Beulah,e,Rosenblad,8/5/2019,7941 Knutson Court,2.0,57239.0
123,Callie,K,Shawley,10/18/2017,7165 Mayfield Center,1.0,80642.0
124,Lou,O,Pherps,1/25/2019,327 Eastwood Street,0.0,36729.0
125,Delia,M,Kloska,6/6/2022,33 Briar Crest Trail,2.0,2159.0
126,Eleanor,v,Cockell,7/20/2015,8069 Lillian Trail,2.0,91259.0
127,Barbara,N,Vannet,9/6/2020,2 Namekagon Park,2.0,7640.0
128,Iva,N,Albany,10/17/2022,118 Dorton Circle,2.0,8295.0
129,Louisa,Z,Cains,8/12/2013,95 Drewry Road,1.0,11802.0
130,Maria,i,Alyonov,11/2/2013,5070 Pleasure Drive,2.0,82999.0
131,Mayme,d,Dagnall,9/13/2021,0 Forster Circle,0.0,34178.0
132,Evelyn,q,Mateuszczyk,7/5/2018,1241 Mosinee Court,2.0,14879.0
133,Estelle,o,Kyme,10/10/2017,4 Jay Parkway,2.0,13244.0
134,Nina,I,Attwoull,8/4/2015,924 Gale Hill,2.0,95394.0
135,Betty,g,Mounsey,12/12/2016,02707 Springs Place,0.0,20165.0
136,Marion,r,Comi,4/28/2020,7 Lerdahl Center,2.0,20599.0
137,Bettie,r,Mayman,7/22/2018,74678 Anthes Pass,1.0,72772.0
138,Dorothy,h,Heeps,6/3/2022,8981 Melrose Terrace,2.0,53269.0
139,Luella,S,Davsley,5/18/2022,81 Ridge Oak Pass,0.0,50773.0
140,Inez,y,Fishbourne,3/20/2021,96 Mosinee Center,0.0,21130.0
141,Lela,F,Readmire,1/30/2018,02227 Bartillon Trail,0.0,85767.0
142,Rosie,k,Palmby,9/16/2019,89 Barby Hill,2.0,7102.0
143,Allie,e,Bescoby,5/17/2013,89354 Briar Crest Street,1.0,3038.0
144,Millie,E,Ritchings,3/2/2016,16072 Gerald Alley,0.0,59812.0
145,Janie,d,Rapa,9/4/2019,10 Summit Trail,0.0,38599.0
146,Cornelia,w,Pybus,4/6/2018,45825 Darwin Parkway,0.0,62339.0
147,Victoria,l,Doak,11/6/2022,4380 Butternut Point,0.0,72523.0
148,Ruby,k,Lossman,7/29/2013,3 Darwin Point,2.0,14537.0
149,Winifred,g,Brabbs,9/23/2021,488 Cascade Circle,2.0,25171.0
150,Alta,e,Sieghard,9/20/2018,5104 Waywood Circle,2.0,89163.0
151,Celia,I,Hambatch,10/26/2014,777 Annamark Trail,1.0,69924.0
152,Christine,k,Callicott,12/15/2017,08 Glendale Parkway,0.0,98551.0
153,Beatrice,c,Hamfleet,3/16/2022,4402 Morrow Street,2.0,89854.0
154,Birdie,q,Shervil,4/14/2017,32530 Kropf Parkway,2.0,23769.0
155,Harriett,R,Brimmicombe,1/26/2017,02 Harbort Parkway,1.0,83824.0
156,Mable,g,Garnsworth,7/4/2021,2615 Dunning Alley,1.0,60401.0
157,Myra,S,Rewcassell,4/22/2016,91511 Mitchell Junction,0.0,66135.0
158,Sophie,s,Plumbe,1/10/2022,6265 Schurz Way,0.0,4020.0
159,Tillie,T,Desforges,6/30/2016,18280 Riverside Avenue,1.0,38719.0
160,Isabel,k,Tompkiss,1/7/2021,15 Manitowish Trail,2.0,83429.0
161,Sylvia,u,Nassau,3/24/2015,60 Transport Point,1.0,1550.0
162,Carolyn,u,Evison,4/16/2021,32018 Straubel Center,1.0,25421.0
163,Isabelle,q,Thairs,7/4/2013,5458 Harper Center,0.0,34527.0
164,Leila,x,Toffalo,6/30/2013,00866 Mesta Parkway,0.0,8385.0
165,Sally,s,Noury,11/27/2019,22489 Amoth Trail,2.0,6602.0
166,Ina,b,Chettle,2/10/2015,3616 Sloan Hill,1.0,72304.0
167,Essie,N,Shapera,8/28/2017,28 Mosinee Avenue,0.0,71498.0
168,Bertie,y,Brocklehurst,7/8/2021,64 Sheridan Center,0.0,90481.0
169,Nell,h,Lomis,2/16/2022,010 Warrior Court,2.0,92553.0
170,Alberta,r,Champken,5/28/2017,231 Glendale Hill,1.0,58997.0
171,Katharine,c,Lodevick,6/18/2022,42588 Elmside Plaza,0.0,40420.0
172,Lora,O,Goodin,3/5/2017,04209 International Drive,0.0,88127.0
173,Rena,y,Junkison,7/12/2013,83 Manufacturers Terrace,1.0,12549.0
174,Mina,r,Wilse,4/13/2014,237 Lake View Trail,1.0,41055.0
175,Rhoda,L,Collman,9/1/2017,412 Lakewood Plaza,0.0,36559.0
176,Mathilda,J,McMichan,5/17/2017,58677 Duke Circle,1.0,94398.0
177,Abbie,B,Cranmere,9/15/2017,231 Thierer Junction,1.0,96601.0
178,Eula,m,Finby,10/26/2015,01623 5th Parkway,2.0,95372.0
179,Dollie,F,Riggert,8/2/2015,2 Warner Street,1.0,12674.0
180,Hettie,f,Fabbro,9/8/2018,19 Montana Circle,0.0,99256.0
181,Eunice,w,Roache,9/14/2019,3776 Arizona Road,2.0,9373.0
182,Fanny,o,Farebrother,10/26/2014,2 Hanover Place,1.0,47386.0
183,Ola,e,Agar,5/21/2013,2 Brentwood Road,2.0,48242.0
184,Lenora,I,Bruineman,6/15/2014,6391 Ilene Street,1.0,86163.0
185,Adelaide,e,Mathias,6/26/2016,16 Crownhardt Parkway,0.0,88564.0
186,Christina,Y,MacCulloch,4/1/2018,9 Nova Circle,2.0,85991.0
187,Lelia,Q,Westhoff,6/21/2017,835 Forest Dale Plaza,2.0,19315.0
188,Nelle,w,Simonitto,6/6/2019,43709 Hoard Road,2.0,8443.0
189,Sue,t,Abell,7/16/2017,47 Russell Junction,0.0,85112.0
190,Johanna,H,Banaszkiewicz,6/29/2022,993 Washington Court,0.0,14284.0
191,Lilly,q,Cleyburn,12/31/2014,70 Erie Road,1.0,92832.0
192,Lucinda,B,Wrey,1/16/2014,693 Haas Alley,0.0,52714.0
193,Minerva,b,Eilhart,3/20/2022,42 Sheridan Alley,1.0,20425.0
194,Lettie,Q,Ellens,6/12/2020,579 Independence Point,1.0,67775.0
195,Roxie,I,Rossi,7/14/2019,4462 Chive Street,0.0,59108.0
196,Cynthia,V,Spedroni,10/1/2021,66597 Hanson Drive,2.0,37665.0
197,Helena,A,Dadd,6/13/2016,9 Sunnyside Junction,1.0,3196.0
198,Hilda,f,Briiginshaw,2/19/2016,69 David Place,0.0,62795.0
199,Hulda,R,Joye,11/26/2018,6 Jenna Terrace,2.0,69087.0
200,Bernice,a,de Mullett,11/13/2018,54533 Sutherland Point,0.0,55781.0
201,Genevieve,Z,Cromleholme,5/17/2021,890 Merry Street,1.0,73158.0
202,Jean,W,Kernermann,7/31/2015,60315 Dorton Plaza,1.0,99326.0
203,Cordelia,O,Smogur,7/21/2018,296 Raven Place,1.0,99944.0
204,Marian,b,Vine,5/14/2017,7 American Park,0.0,6667.0
205,Francis,y,Theunissen,8/13/2018,32849 Drewry Court,0.0,95735.0
206,Jeanette,Q,Lepope,2/1/2019,4 Commercial Place,1.0,46055.0
207,Adeline,j,Plumbridge,9/17/2017,9976 Kings Hill,0.0,19674.0
208,Gussie,s,Ilchenko,5/18/2019,12 Nancy Terrace,1.0,54608.0
209,Leah,D,Polfer,4/10/2014,148 Dunning Place,2.0,79067.0
210,Lois,z,Skiplorne,2/28/2017,50 Granby Hill,0.0,9031.0
211,Lura,y,Mumm,8/9/2014,329 Schurz Park,2.0,33381.0
212,Mittie,g,Brewerton,1/5/2015,335 Nobel Park,1.0,70459.0
213,Hallie,a,Fobidge,3/4/2020,220 Novick Road,2.0,58612.0
214,Isabella,s,Truran,4/5/2019,51203 Mitchell Circle,2.0,98305.0
215,Olga,V,Gilley,6/4/2019,070 Bluejay Terrace,2.0,4861.0
216,Phoebe,F,Ipplett,8/28/2014,7950 Dexter Court,0.0,25554.0
217,Teresa,F,Walmsley,11/6/2014,751 Schmedeman Lane,0.0,44014.0
218,Hester,a,Wickett,8/11/2017,147 Waxwing Avenue,0.0,43675.0
219,Lida,q,Dmitrichenko,8/27/2020,8 Morning Trail,1.0,72346.0
220,Lina,S,Hardy,11/7/2013,217 Armistice Parkway,2.0,21968.0
221,Winnie,U,Kees,7/24/2021,281 Becker Alley,0.0,74010.0
222,Claudia,F,Audsley,11/25/2017,76 Del Sol Point,2.0,95823.0
223,Marguerite,Z,Amner,12/1/2021,79747 Old Gate Way,0.0,44396.0
224,Vera,o,Towner,6/21/2022,8 Bluestem Park,0.0,80026.0
225,Cecelia,z,Guyonneau,11/7/2015,77 7th Lane,2.0,14948.0
226,Bess,J,Pountney,11/15/2013,28330 Express Place,2.0,67540.0
227,Emilie,j,Sockell,1/27/2019,1 Waxwing Circle,1.0,6348.0
228,John,s,Mulvihill,8/31/2017,79 Ronald Regan Place,1.0,63366.0
229,Rosetta,Q,Graith,2/2/2022,12 Vermont Court,1.0,40972.0
230,Verna,T,Metzel,1/14/2021,4131 Rockefeller Way,2.0,39688.0
231,Myrtie,k,McDade,12/28/2021,91 Homewood Point,2.0,90240.0
232,Cecilia,A,Longland,11/12/2018,14219 Mandrake Pass,0.0,84023.0
233,Elva,P,Beton,8/17/2017,5115 8th Junction,0.0,45229.0
234,Olivia,a,Borsay,6/13/2019,68544 Blackbird Road,0.0,4844.0
235,Ophelia,e,Le Blond,4/9/2015,838 Superior Junction,2.0,3489.0
236,Georgie,P,Biddy,5/6/2017,356 Briar Crest Center,0.0,2544.0
237,Elnora,S,Buckbee,8/29/2019,82484 5th Trail,2.0,20945.0
238,Violet,j,Pavlasek,11/16/2015,0458 Charing Cross Avenue,2.0,3231.0
239,Adele,c,Maskill,4/9/2017,1 Stephen Place,1.0,64508.0
240,Lily,k,Goodin,10/28/2022,02 North Point,1.0,47778.0
241,Linnie,o,MacBey,8/15/2014,973 Tomscot Trail,0.0,14374.0
242,Loretta,g,Gurge,8/31/2019,72917 Northview Hill,0.0,89099.0
243,Madge,A,Risborough,4/12/2018,349 Grayhawk Circle,2.0,93053.0
244,Polly,W,Dewdney,12/23/2019,99 Carioca Trail,1.0,8085.0
245,Virgie,b,Cluely,4/3/2021,579 Morrow Pass,0.0,79088.0
246,Eugenia,T,Clemerson,8/6/2016,9 Rieder Lane,0.0,61353.0
247,Lucile,G,Shark,4/22/2020,34 Fulton Trail,2.0,8167.0
248,Lucille,z,Presslee,2/1/2022,96 Bluestem Junction,2.0,70634.0
249,Mabelle,k,Hibbart,11/14/2020,4750 Algoma Pass,2.0,83661.0
250,Rosalie,e,Carsey,3/13/2021,4473 Hansons Court,0.0,67727.0
251,Kittie,G,Bourhill,5/26/2015,879 Ludington Center,1.0,42023.0
252,Meta,q,Pardue,8/20/2013,324 Springview Park,0.0,13039.0
253,Angie,v,Mitskevich,8/21/2020,71418 Melvin Way,2.0,54336.0
254,Dessie,X,Pietruszka,2/19/2019,24511 Darwin Lane,2.0,72328.0
255,Georgiana,P,Berryann,12/17/2020,6 Shasta Hill,2.0,16658.0
256,Lila,O,Aloshikin,1/2/2022,94922 Golf Circle,0.0,65827.0
257,Regina,y,Starbeck,4/29/2017,609 Holmberg Court,0.0,62674.0
258,Selma,h,Murford,11/24/2017,4 Bartillon Road,2.0,46113.0
259,Wilhelmina,q,Dakhno,2/4/2019,03378 Orin Court,1.0,81389.0
260,Bridget,D,Flahive,10/5/2013,2 Esker Pass,0.0,18419.0
261,Lilla,V,Wilder,8/27/2013,96 Melrose Court,2.0,21921.0
262,Malinda,z,Persicke,1/11/2015,15307 Randy Circle,2.0,74064.0
263,Vina,o,Tombleson,8/14/2021,0244 Marcy Center,0.0,44184.0
264,Freda,I,MacCall,12/31/2019,09835 Sloan Road,1.0,26776.0
265,Gertie,a,Rembrandt,7/2/2016,28 Sachtjen Circle,1.0,99788.0
266,Jeannette,w,Fareweather,5/5/2021,542 Marquette Point,2.0,66088.0
267,Louella,I,Oake,6/14/2017,1 Eliot Way,1.0,37573.0
268,Mandy,M,Featherston,5/5/2021,12851 Petterle Road,1.0,22328.0
269,Roberta,O,Hugenin,8/7/2013,86151 Blaine Center,2.0,24937.0
270,Cassie,L,Wasiela,4/4/2021,767 Glendale Street,2.0,90543.0
271,Corinne,X,Mearing,3/31/2020,7923 Packers Alley,1.0,89709.0
272,Ivy,H,Ledford,2/16/2018,8 Schiller Junction,0.0,60341.0
273,Melissa,Q,Rafter,6/7/2018,43200 Quincy Court,1.0,87969.0
274,Lyda,s,Loble,4/13/2017,5801 Annamark Point,2.0,14103.0
275,Naomi,G,Concannon,12/18/2019,7 Coleman Park,2.0,40070.0
276,Norma,h,Danielli,9/15/2022,192 Everett Alley,2.0,49957.0
277,Bell,N,Spier,10/25/2019,950 Laurel Plaza,1.0,61794.0
278,Margie,Z,Brewse,11/5/2019,09 Oakridge Park,0.0,17119.0
279,Nona,Q,Load,7/24/2018,21045 Upham Alley,2.0,11447.0
280,Zella,F,Andreazzi,2/2/2015,874 Drewry Circle,2.0,42392.0
281,Dovie,J,Rotham,8/28/2013,1 Meadow Ridge Hill,2.0,39525.0
282,Elvira,d,Leadston,2/23/2021,1807 Monterey Lane,1.0,79547.0
283,Erma,W,Ginglell,4/12/2021,203 American Center,1.0,74090.0
284,Irma,W,Crosser,10/16/2021,93 Village Alley,1.0,2773.0
285,Leota,d,Attenborough,6/28/2021,1194 Comanche Hill,1.0,15013.0
286,William,R,Arnaudet,11/24/2013,68505 Di Loreto Hill,0.0,26120.0
287,Artie,d,Tramel,10/12/2014,89 Anniversary Drive,2.0,2917.0
288,Blanch,z,Goodband,12/5/2022,6469 Oakridge Center,0.0,93789.0
289,Charity,X,De Winton,7/23/2018,23679 Dakota Place,2.0,38564.0
290,Lorena,h,Hastler,2/19/2014,4 Schmedeman Hill,1.0,99559.0
291,Lucretia,l,Monteaux,4/27/2021,38 Vidon Road,0.0,43328.0
292,Orpha,q,Ballantine,4/21/2014,76577 Springview Street,2.0,89148.0
293,Alvina,H,Izac,8/30/2017,73803 Cascade Place,0.0,84166.0
294,Annette,F,MacCostye,10/18/2016,8 Spohn Center,1.0,78086.0
295,Catharine,T,Yakunkin,4/28/2015,97656 Lake View Pass,2.0,91781.0
296,Elma,K,Valentelli,10/18/2018,6334 Anderson Place,0.0,19686.0
297,Geneva,r,Trillo,4/10/2016,8 Pawling Trail,0.0,62882.0
298,Janet,q,Flasby,2/23/2022,03 Eagan Trail,0.0,33017.0
299,Lee,C,Casoni,9/7/2018,216 Ludington Road,0.0,6336.0
300,Leora,K,Haycock,1/21/2014,663 Toban Parkway,0.0,17600.0
301,Lona,A,Kiessel,5/30/2019,17589 Bayside Court,0.0,62989.0
302,Miriam,E,Rochford,8/4/2015,6 Cody Park,0.0,56652.0
303,Zora,t,Hush,5/2/2017,1 Namekagon Pass,1.0,39223.0
304,Linda,Z,Lark,3/16/2015,14 Pankratz Drive,0.0,85633.0
305,Octavia,k,Pheazey,5/31/2020,0 Green Plaza,2.0,20522.0
306,Sudie,U,Waterfield,3/20/2021,5571 Shoshone Way,2.0,63956.0
307,Zula,Q,Soares,12/8/2020,044 North Way,2.0,95974.0
308,Adella,J,Blenkinsopp,7/26/2019,777 Old Gate Hill,2.0,54185.0
309,Alpha,V,Fosbraey,11/7/2013,8031 Larry Street,1.0,42346.0
310,Frieda,X,Jouhning,8/23/2017,3 Ridgeview Circle,2.0,10206.0
311,George,p,Townson,8/11/2017,16 Weeping Birch Terrace,2.0,33317.0
312,Joanna,V,Gimert,12/11/2017,891 Colorado Way,1.0,25450.0
313,Leonora,F,Mohammed,9/24/2018,74090 Fulton Junction,1.0,52594.0
314,Priscilla,S,Omar,8/9/2020,57 Moland Crossing,1.0,90557.0
315,Tennie,w,Ithell,8/10/2017,5372 Forest Dale Avenue,2.0,66220.0
316,Angeline,Z,Deniske,11/16/2018,6 Logan Circle,0.0,94514.0
317,Docia,N,McGonigal,10/11/2013,61 Manley Road,0.0,35572.0
318,Ettie,F,Dawes,5/8/2013,5132 Cordelia Lane,1.0,80390.0
319,Flossie,c,Schrir,1/15/2017,8 Holmberg Lane,2.0,65831.0
320,Hanna,m,Walthall,9/23/2022,6 Independence Park,2.0,44864.0
321,Letha,C,Cubbini,5/14/2014,59939 Dennis Junction,1.0,61027.0
322,Minta,w,Sircomb,10/22/2020,37 Union Avenue,1.0,67021.0
323,Retta,X,Oherlihy,7/5/2022,9670 North Hill,0.0,7740.0
324,Rosella,x,Halligan,11/22/2022,4 Upham Lane,2.0,39645.0
325,Adah,J,McLarens,5/31/2017,448 Lien Plaza,0.0,1579.0
326,Berta,N,Fontelles,3/30/2014,816 Hoepker Parkway,1.0,53380.0
327,Elisabeth,O,Perri,5/20/2017,36 Troy Parkway,1.0,40213.0
328,Elise,Z,Skylett,7/21/2018,5427 Victoria Pass,0.0,17440.0
329,Goldie,H,Simeoli,2/2/2015,5528 Shopko Pass,2.0,35320.0
330,Leola,k,Sacker,8/9/2018,12 Merry Trail,2.0,36103.0
331,Margret,o,Hardwidge,1/17/2017,8078 Nova Center,2.0,47233.0
332,Adaline,i,Bale,9/28/2015,7237 Packers Center,2.0,44163.0
333,Floy,l,MacKibbon,5/2/2021,38797 Ilene Way,1.0,43901.0
334,Idella,V,Timbridge,9/25/2014,26858 Clyde Gallagher Court,1.0,93401.0
335,Juanita,B,Brotherhood,10/5/2019,68399 Kinsman Avenue,0.0,87316.0
336,Lenna,V,Reuven,11/19/2017,683 Dakota Terrace,1.0,1812.0
337,Lucie,a,Keeting,8/25/2015,4640 Maple Wood Crossing,1.0,87061.0
338,Missouri,g,Morecombe,4/15/2022,0 Clove Alley,1.0,70338.0
339,Nola,e,Murney,10/25/2022,2 Golf View Lane,0.0,23310.0
340,Zoe,E,Baily,6/13/2014,42407 Hagan Terrace,2.0,24632.0
341,Eda,Z,Oldfield,3/2/2019,987 Carberry Drive,2.0,41624.0
342,Isabell,T,Penquet,8/1/2017,51 7th Parkway,2.0,3143.0
343,James,c,Simla,6/24/2021,69228 Tennessee Pass,2.0,60965.0
